userid,appid,play_hrs
76561197960272283,12170.00,0.00
76561197960272283,12180.00,0.00
76561197960272283,12190.00,0.00
76561197960272283,12200.00,0.00
76561197960272283,12210.00,13.22
76561197960272283,12220.00,2.47
76561197960272283,12230.00,0.00
76561197960272283,12240.00,0.00
76561197960272283,12250.00,0.00
76561197960272283,4920.00,70.35
76561197960272283,34010.00,0.68
76561197960272283,49400.00,7.50
76561197960272283,41000.00,0.00
76561197960272283,41010.00,2.12
76561197960272283,1500.00,0.00
76561197960272283,1510.00,1.72
76561197960272283,1520.00,1.72
76561197960272283,1530.00,0.00
76561197960272283,42120.00,3.88
76561197960272283,22600.00,1.88
76561197960272283,9500.00,0.02
76561197960272283,22000.00,0.00
76561197960272283,22180.00,0.00
76561197960272283,24420.00,0.00
76561197960272283,25010.00,0.00
76561197960272283,40720.00,0.00
76561197960272283,70300.00,0.00
76561197960272283,32360.00,0.00
76561197960272283,32460.00,0.00
76561197960272283,42700.00,12.30
76561197960272283,42710.00,48.87
76561197960272283,80200.00,0.15
76561197960272283,50000.00,0.25
76561197960272283,2450.00,7.75
76561197960272283,31280.00,0.00
76561197960272283,62000.00,1.03
76561197960272283,72200.00,0.00
76561197960272283,47540.00,0.00
76561197960272283,40800.00,6.02
76561197960272283,57000.00,0.47
76561197960272283,8190.00,0.52
76561197960272283,18700.00,0.35
76561197960272283,31270.00,2.93
76561197960272283,58200.00,0.00
76561197960272283,70400.00,0.00
76561197960272283,47870.00,0.58
76561197960272283,16450.00,0.00
76561197960272283,21090.00,0.00
76561197960272283,21110.00,0.00
76561197960272283,21120.00,0.00
76561197960272283,35130.00,2.23
76561197960272283,31290.00,0.00
76561197960272283,94500.00,0.00
76561197960272283,94510.00,0.00
76561197960272283,94520.00,0.00
76561197960272283,94530.00,0.00
76561197960272283,42910.00,1.18
76561197960272283,47780.00,0.40
76561197960272283,620.00,18.72
76561197960272283,99200.00,0.28
76561197960272283,26500.00,13.93
76561197960272283,98200.00,0.00
76561197960272283,96200.00,0.00
76561197960272283,105600.00,0.20
76561197960272283,20920.00,21.00
76561197960272283,91700.00,0.65
76561197960272283,94200.00,0.73
76561197960272283,105300.00,0.05
76561197960272283,11280.00,0.00
76561197960272283,94590.00,0.22
76561197960272283,4560.00,0.00
76561197960272283,9340.00,0.00
76561197960272283,9480.00,0.75
76561197960272283,15620.00,1.13
76561197960272283,20500.00,0.00
76561197960272283,20570.00,0.00
76561197960272283,43110.00,1.27
76561197960272283,50620.00,1.42
76561197960272283,55100.00,0.00
76561197960272283,55140.00,0.00
76561197960272283,56400.00,0.00
76561197960272283,228200.00,0.00
76561197960272283,462780.00,0.00
76561197960272283,98800.00,0.57
76561197960272283,22230.00,0.23
76561197960272283,48000.00,2.47
76561197960272283,35450.00,5.50
76561197960272283,236830.00,0.00
76561197960272283,107100.00,0.63
76561197960272283,7940.00,0.00
76561197960272283,42680.00,10.82
76561197960272283,42690.00,49.28
76561197960272283,9200.00,0.00
76561197960272283,28050.00,0.00
76561197960272283,8140.00,0.00
76561197960272283,55150.00,2.17
76561197960272283,72850.00,0.00
76561197960272283,24240.00,22.33
76561197960272283,113200.00,11.07
76561197960272283,201280.00,0.00
76561197960272283,205790.00,0.00
76561197960272283,71340.00,0.77
76561197960272283,37400.00,0.00
76561197960272283,37420.00,0.00
76561197960272283,92600.00,0.38
76561197960272283,200190.00,0.00
76561197960272283,99700.00,0.00
76561197960272283,55230.00,9.87
76561197960272283,57400.00,17.60
76561197960272283,200260.00,0.00
76561197960272283,201570.00,0.08
76561197960272283,202200.00,0.00
76561197960272283,35720.00,0.00
76561197960272283,6120.00,0.00
76561197960272283,63710.00,0.28
76561197960272283,41800.00,0.05
76561197960272283,200900.00,0.00
76561197960272283,26900.00,0.00
76561197960272283,41100.00,0.00
76561197960272283,3830.00,0.55
76561197960272283,115100.00,0.00
76561197960272283,67370.00,0.00
76561197960272283,108710.00,0.00
76561197960272283,208090.00,0.18
76561197960272283,61600.00,0.00
76561197960272283,111100.00,0.00
76561197960272283,112100.00,0.00
76561197960272283,201870.00,12.55
76561197960272283,22380.00,0.00
76561197960272283,35700.00,0.55
76561197960272283,207490.00,3.00
76561197960272283,205730.00,0.00
76561197960272283,203630.00,0.00
76561197960272283,207610.00,6.48
76561197960272283,200710.00,2.95
76561197960272283,50300.00,5.38
76561197960272283,212030.00,0.00
76561197960272283,207690.00,0.57
76561197960272283,94300.00,0.00
76561197960272283,94303.00,0.00
76561197960272283,94304.00,0.00
76561197960272283,212680.00,0.00
76561197960272283,98400.00,0.00
76561197960272283,202750.00,0.00
76561197960272283,204100.00,0.00
76561197960272283,108800.00,0.00
76561197960272283,50650.00,0.00
76561197960272283,212010.00,0.47
76561197960272283,202170.00,15.97
76561197960272283,209080.00,0.52
76561197960272283,31220.00,0.00
76561197960272283,31230.00,0.00
76561197960272283,31240.00,0.00
76561197960272283,31250.00,0.00
76561197960272283,31260.00,0.00
76561197960272283,215280.00,0.00
76561197960272283,204630.00,0.00
76561197960272283,205100.00,2.35
76561197960272283,730.00,967.78
76561197960272283,208580.00,0.00
76561197960272283,208200.00,0.00
76561197960272283,214560.00,0.00
